Platform,Tier,Task ID,Task Name,Category,Description,Premium Task
"Services","Free","stop-service","Stop Windows Service","Service Control","Stop a running Windows service","No"
"Services","Free","restart-service","Restart Windows Service","Service Control","Restart a Windows service (stop and start)","No"
"Services","Free","set-service-startup","Set Service Startup Type","Startup Configuration","Change service startup type (Automatic, Manual, Disabled)","No"
"Services","Free","set-service-account","Set Service Logon Account","Service Accounts","Change the account a service runs under","No"
"Services","Free","get-service-dependencies","Get Service Dependencies","Service Dependencies","List services that depend on or are required by a service","No"
"Services","Free","set-service-recovery","Set Service Recovery Options","Recovery & Failover","Configure service failure recovery actions","No"
"Services","Free","bulk-start-services","Bulk Start Services (by Pattern)","Service Control","Start multiple services matching a name pattern","No"
"Services","Free","bulk-stop-services","Bulk Stop Services (by Pattern)","Service Control","Stop multiple services matching a name pattern","No"
"Services","Free","export-service-config","Export Service Configuration","Backup & Documentation","Export service configuration for backup or documentation","No"
"Services","Free","get-stopped-auto-services","Get Stopped Automatic Services","Service Health","Report services set to Automatic that are currently stopped","No"
"Services","Free","disable-unnecessary-services","Disable Unnecessary Services (Security Hardening)","Security Hardening","Disable common unnecessary services for security hardening","No"
"Services","Free","monitor-service-failures","Monitor Service Failures (Event Log)","Service Health","Report service crash/failure events from System event log","No"
"Process Management","Free","get-process-list","Get Running Processes Report","Process Inventory","List all running processes with CPU, memory, and resource usage","No"
"Process Management","Free","stop-process-bulk","Stop Process (Bulk by Name)","Process Control","Stop one or more processes by name or pattern","No"
"Process Management","Free","get-process-by-port","Find Process Using Port","Diagnostics & Troubleshooting","Identify process listening on or using a specific port","No"
"Process Management","Free","monitor-cpu-usage","Monitor CPU Usage (Top Consumers)","Performance Monitoring","Monitor and report processes with highest CPU usage","No"
"Process Management","Free","monitor-memory-usage","Monitor Memory Usage (Top Consumers)","Performance Monitoring","Report processes consuming the most memory","No"
"Process Management","Free","set-process-priority","Set Process Priority","Process Control","Change priority class for a running process","No"
"Process Management","Free","get-startup-processes","Get Startup Programs","Startup & Boot","List programs configured to run at startup","No"
"Process Management","Free","export-process-tree","Export Process Tree (Parent/Child)","Process Inventory","Display process hierarchy showing parent-child relationships","No"
"Process Management","Free","kill-hung-processes","Kill Hung/Not Responding Processes","Process Control","Automatically detect and kill processes that are not responding","No"
"Process Management","Free","set-process-affinity","Set Process CPU Affinity","Process Control","Restrict process to specific CPU cores","No"
"Process Management","Free","monitor-process-handles","Monitor Process Handle Count","Performance Monitoring","Report processes with high handle counts (potential leaks)","No"
"Process Management","Free","start-process","Start Process/Application","Process Control","Launch an application or executable with arguments","No"
"Process Management","Free","get-process-details","Get Process Details by Name","Process Inventory","Get detailed information about a specific process","No"
"Event Logs","Free","enum-event-logs","Enumerate All Event Logs","Log Inventory","List all available event logs with configuration details (size, retention, enabled state)","No"
"Event Logs","Free","export-log-baseline","Export Log Configuration Baseline","Log Inventory","Export current log configuration for drift detection and compliance","No"
"Event Logs","Free","enable-disable-log","Enable/Disable Event Log Channel","Log Inventory","Enable or disable specific event log channels (classic or ETW)","No"
"Event Logs","Free","set-retention-policy","Configure Log Retention Policy (Bulk)","Maintenance & Retention","Set maximum size and retention mode for multiple logs","No"
"Event Logs","Free","clear-logs","Clear Event Logs with Backup","Maintenance & Retention","Clear selected logs after backing up to .evtx files","No"
"Event Logs","Free","search-events-by-id","Search Events by ID and Time Range","Querying & Filtering","Search specific event IDs across logs with date filters","No"
"Event Logs","Free","top-event-ids","Get Top Event IDs (Trending)","Querying & Filtering","Extract most frequent event IDs over a time period","No"
"Event Logs","Free","search-security-events","Search Security Events (Failed Logons, Privilege Use)","Querying & Filtering","Query common security event IDs with filters","No"
"Event Logs","Free","enable-audit-policy","Enable Advanced Audit Policy Baseline","Security & Audit","Configure audit policy categories (logon, privilege use, object access)","No"
"Event Logs","Free","detect-log-tampering","Detect Log Tampering & Clearing","Security & Audit","Search for Event ID 1102 (log cleared) and 4719 (audit policy change)","No"
"Event Logs","Free","monitor-log-capacity","Monitor Log Capacity & Alert","Hygiene & Monitoring","Check logs nearing max capacity and alert preemptively","No"
"Event Logs","Free","detect-disabled-logs","Detect Disabled Critical Logs","Hygiene & Monitoring","Report logs that should be enabled but are disabled","No"
"Active Directory","Free","new-hire-provisioning","New Hire Provisioning","Identity Lifecycle","Create new user account with groups, home drive, manager, and welcome notification","Yes"
"Active Directory","Free","offboarding-disable","User Offboarding","Identity Lifecycle","Disable account, remove groups, move to disabled OU, and archive home drive","Yes"
"Active Directory","Free","password-expiry-notification","Password Expiry Notification","Identity Lifecycle","Find users with expiring passwords and send notifications","Yes"
"Active Directory","Free","cleanup-stale-computers","Cleanup Stale Computers","Computers & OUs","Find and optionally remove/disable computers inactive for specified days","Yes"
"Active Directory","Free","backup-all-gpos","Backup All GPOs","GPO & Configuration","Create timestamped backup of all Group Policy Objects","Yes"
"Active Directory","Free","audit-priv-groups","Audit Privileged Groups","Security & Compliance","Monitor changes to privileged groups and generate diff report","Yes"
"Active Directory","Free","gpo-drift-report","GPO Drift Report","GPO & Configuration","Compare GPO backups and detect configuration drift","Yes"
"Active Directory","Free","ad-health-report","Weekly AD Health Report","Reporting & Inventory","Comprehensive AD health check including DCs, replication, DIT size, and SYSVOL","Yes"
"Active Directory","Free","find-lockout-source","Find Account Lockout Source","Reporting & Inventory","Hunt for the source of account lockouts across domain controllers","Yes"
"Active Directory","Free","audit-kerberoastable-spns","Audit Kerberoastable SPNs","Security & Compliance","Find service accounts with SPNs vulnerable to Kerberoasting attacks","Yes"
"Active Directory","Free","report-stale-dns","Report Stale DNS Records","DNS / DHCP","Find and report stale DNS records for cleanup","Yes"
"Active Directory","Free","move-computers-by-site","Move Computers by Site","Computers & OUs","Automatically place computers into correct OUs based on site or subnet","Yes"
"Active Directory","Free","bulk-user-import","Bulk User Import from CSV","Identity Lifecycle","Import and create multiple users from HR CSV file","Yes"
"Active Directory","Free","password-reset-unlock","Password Reset & Account Unlock","Identity Lifecycle","Reset user password and unlock account","Yes"
"Active Directory","Free","orphaned-groups-cleanup","Orphaned/Empty Groups Report","Groups & Access","Find and report empty groups and groups with no members","Yes"
"Active Directory","Free","bitlocker-recovery-audit","BitLocker Recovery Key Audit","Computers & OUs","Check and export BitLocker recovery keys from AD","Yes"
"Active Directory","Free","password-never-expires-audit","Password Never Expires Audit","Security & Compliance","Find accounts with password never expires flag set","Yes"
"Active Directory","Free","replication-failure-watcher","Replication Failure Watcher","Reporting & Inventory","Monitor and alert on AD replication failures","Yes"
"Active Directory","Free","upn-consistency-report","UPN & Email Suffix Consistency","Reporting & Inventory","Report on UPN and email address consistency","Yes"
"Active Directory","Free","ntfs-permissions-review","NTFS Permissions Review","File/Print & Permissions","Audit NTFS permissions and detect least privilege violations","Yes"
"Active Directory","Free","csv-mass-moves","CSV-Driven Mass Moves/Renames","Migrations & Hygiene","Move or rename AD objects in bulk from CSV file","Yes"
"Active Directory","Free","nested-group-audit","Nested Group Depth Audit","Groups & Access","Audit nested group depth to identify token bloat issues","Yes"
"Active Directory","Free","bulk-add-users-to-group","Bulk Add Users to Security Group","Bulk Actions","Add multiple users to a security group from CSV file with username list","Yes"
"Active Directory","Free","bulk-user-property-changes","Bulk User Property Changes","Bulk Actions","Update user properties (department, title, manager, etc.) from CSV file","Yes"
"Active Directory","Free","bulk-user-account-moves","Bulk User Account Moves","Bulk Actions","Move multiple user accounts to different OUs from CSV file","Yes"
"Active Directory","Free","bulk-add-computers-to-group","Bulk Add Computers to Security Group","Bulk Actions","Add multiple computers to a security group from CSV file","Yes"
"Active Directory","Free","bulk-computer-property-changes","Bulk Computer Property Changes","Bulk Actions","Update computer properties (description, location, etc.) from CSV file","Yes"
"Active Directory","Free","bulk-computer-account-moves","Bulk Computer Account Moves","Bulk Actions","Move multiple computer accounts to different OUs from CSV file","Yes"
"Active Directory","Free","bulk-contact-property-changes","Bulk Contact Property Changes","Bulk Actions","Update contact properties (email, phone, company, etc.) from CSV file","Yes"
"Active Directory","Free","bulk-group-property-changes","Bulk Security Group Property Changes","Bulk Actions","Update security group properties (description, managed by, etc.) from CSV file","Yes"
"Active Directory","Free","create-dns-zone","Create DNS Zone","DNS Operations","Create a new DNS zone (primary or secondary)","Yes"
"Active Directory","Free","create-dns-a-record","Create DNS A Record","DNS Operations","Create a DNS A (host) record for name-to-IP resolution","Yes"
"Active Directory","Free","configure-dns-scavenging","Configure DNS Scavenging","DNS Operations","Enable and configure DNS scavenging to remove stale records","Yes"
"Active Directory","Free","create-dns-conditional-forwarder","Create DNS Conditional Forwarder","DNS Operations","Create a conditional forwarder for selective DNS query forwarding","Yes"
"Active Directory","Free","create-ad-site","Create Active Directory Site","Sites & Services","Create a new AD site for physical network location","Yes"
"Active Directory","Free","create-ad-subnet","Create and Associate AD Subnet","Sites & Services","Create an AD subnet and associate it with a site","Yes"
"Active Directory","Free","create-ad-site-link","Create AD Site Link","Sites & Services","Create a site link to control replication between AD sites","Yes"
"Active Directory","Free","transfer-fsmo-role","Transfer FSMO Role","Domain & Forest Operations","Transfer a Flexible Single Master Operations (FSMO) role to another DC","Yes"
"Active Directory","Free","raise-domain-functional-level","Raise Domain Functional Level","Domain & Forest Operations","Raise the Active Directory domain functional level","Yes"
"Active Directory","Free","promote-domain-controller","Promote Server to Domain Controller","Domain & Forest Operations","Promote a Windows Server to domain controller role","Yes"
"Active Directory","Free","ad-config-replication","Configure AD Replication","Common Admin Tasks","Force replication, monitor replication status","Yes"
"Active Directory","Free","ad-manage-sites-subnets","Manage AD Sites and Subnets","Common Admin Tasks","Create sites, subnets, site links","Yes"
"Active Directory","Free","ad-config-gpo-preferences","Configure Group Policy Preferences","Common Admin Tasks","Deploy mapped drives, printers, shortcuts","Yes"
"Active Directory","Free","ad-manage-trusts","Manage AD Trusts","Common Admin Tasks","Create, verify, remove domain trusts","Yes"
"Active Directory","Free","ad-generate-security-reports","Generate AD Security Reports","Common Admin Tasks","Export privileged accounts, password policy compliance","Yes"
"Registry","Free","read-registry-value","Read Registry Value","Registry Operations","Read a specific registry value from a key","No"
"Registry","Free","set-registry-value","Set Registry Value","Registry Operations","Create or modify a registry value","No"
"Registry","Free","delete-registry-value","Delete Registry Value","Registry Operations","Remove a specific value from a registry key","No"
"Registry","Free","export-registry-key","Export Registry Key to .reg File","Backup & Export","Export registry key and subkeys to .reg file","No"
"Registry","Free","import-registry-file","Import .reg File","Backup & Export","Import registry settings from a .reg file","No"
"Registry","Free","search-registry","Search Registry for Value","Search & Query","Search registry for keys or values matching a pattern","No"
"Registry","Free","backup-registry-hive","Backup Registry Hive","Backup & Export","Create backup of entire registry hive (HKLM or HKCU)","No"
"Registry","Free","compare-registry-keys","Compare Two Registry Keys","Search & Query","Compare values between two registry keys","No"
"Registry","Free","list-registry-keys","List Registry Subkeys","Search & Query","Enumerate all subkeys under a registry key","No"
"Registry","Free","set-registry-permissions","Set Registry Key Permissions","Security & Permissions","Modify ACL permissions on a registry key","No"
"Security","Free","get-local-admins","Get Local Administrators","Account Security","List all members of the local Administrators group","No"
"Security","Free","add-local-admin","Add User to Local Administrators","Account Security","Add a user or group to the local Administrators group","No"
"Security","Free","remove-local-admin","Remove User from Local Administrators","Account Security","Remove a user or group from the local Administrators group","No"
"Security","Free","get-defender-status","Get Windows Defender Status","Windows Defender","Check Windows Defender antivirus and protection status","No"
"Security","Free","update-defender-signatures","Update Windows Defender Signatures","Windows Defender","Force update of Windows Defender antivirus definitions","No"
"Security","Free","run-defender-scan","Run Windows Defender Scan","Windows Defender","Initiate a Quick, Full, or Custom antivirus scan","No"
"Security","Free","get-bitlocker-status","Get BitLocker Encryption Status","BitLocker & Encryption","Check BitLocker encryption status on all volumes","No"
"Security","Free","enable-bitlocker","Enable BitLocker Encryption","BitLocker & Encryption","Enable BitLocker on a drive with recovery key backup","No"
"Security","Free","get-uac-status","Get UAC Settings","Security Policy","Check User Account Control (UAC) configuration","No"
"Security","Free","set-password-policy","Set Local Password Policy","Security Policy","Configure password complexity, length, and age requirements","No"
"Security","Free","get-failed-logons","Get Failed Logon Attempts","Security Monitoring","Report failed logon attempts from Security event log","No"
"Security","Free","disable-guest-account","Disable Guest Account","Account Security","Disable the built-in Guest account for security","No"
"Security","Free","audit-firewall-rules","Audit Firewall Rules (Suspicious)","Security Monitoring","Report potentially suspicious firewall rules (any protocols, disabled rules with suspicious ports)","No"
"Security","Free","check-windows-updates","Check Windows Update Status","Patch Management","Check for available Windows updates and installation status","No"
"Security","Free","export-security-baseline","Export Security Configuration Baseline","Security Policy","Export current security policy for compliance verification","No"
"Exchange Online","Pro","create-mailbox-licensed-user","Create Mailbox for Licensed User","User Mailboxes & Licenses","Create a new Exchange Online mailbox for a licensed user","Yes"
"Exchange Online","Pro","assign-mailbox-permissions","Assign/Remove Mailbox Permissions","User Mailboxes & Licenses","Assign or remove Full Access, Send As, or Send on Behalf permissions to a mailbox","Yes"
"Exchange Online","Pro","bulk-mailbox-operations","Bulk Mailbox Creation/Permission Assignment","User Mailboxes & Licenses","Create multiple mailboxes or assign permissions in bulk from CSV file","Yes"
"Exchange Online","Pro","convert-mailbox-type","Convert Mailbox Type (Shared ↔ User)","User Mailboxes & Licenses","Convert mailbox between User and Shared types","Yes"
"Exchange Online","Pro","enable-litigation-hold","Enable/Disable Litigation Hold or Archive","User Mailboxes & Licenses","Enable or disable litigation hold or archive mailbox for compliance","Yes"
"Exchange Online","Pro","set-mailbox-quota-retention","Set Mailbox Quota and Retention","User Mailboxes & Licenses","Configure mailbox storage quotas, send/receive limits, and retention policies","Yes"
"Exchange Online","Pro","bulk-enable-archive","Bulk Enable Archive Mailboxes","User Mailboxes & Licenses","Enable archive mailboxes for multiple users in bulk","Yes"
"Exchange Online","Pro","mailbox-delegation-report","Mailbox Delegation Report","User Mailboxes & Licenses","Generate a report of all mailbox delegations (Full Access, Send As, Send on Behalf)","Yes"
"Exchange Online","Pro","create-distribution-group","Create/Modify Distribution Group","Distribution & Groups","Create a new distribution group or modify an existing one","Yes"
"Exchange Online","Pro","bulk-group-members","Bulk Add/Remove Group Members","Distribution & Groups","Add or remove multiple members from a distribution group using CSV","Yes"
"Exchange Online","Pro","export-group-membership","Export Group Membership Reports","Distribution & Groups","Generate detailed membership reports for distribution groups","Yes"
"Exchange Online","Pro","create-transport-rule","Create/Update Transport Rule","Transport Rules & Mail Flow","Create or update mail flow transport rules for disclaimers, routing, or blocking","Yes"
"Exchange Online","Pro","block-allow-domains","Block/Allow Specific Domains","Transport Rules & Mail Flow","Block or allow email from specific domains or addresses","Yes"
"Exchange Online","Pro","automated-message-trace","Automated Message Trace","Message Trace & Reporting","Trace messages by sender, recipient, or date range with detailed results","Yes"
"Exchange Online","Pro","create-shared-mailbox","Create Shared/Resource Mailbox","Shared & Resource Mailboxes","Create a shared mailbox or resource mailbox (room/equipment)","Yes"
"Exchange Online","Pro","enable-mailbox-auditing","Enable Mailbox Auditing and Export Logs","Security & Compliance","Enable mailbox auditing and export audit logs for compliance","Yes"
"Exchange Online","Pro","inactive-mailbox-cleanup","Mailbox Inactive Cleanup/Reporting","Maintenance & Hygiene","Find and report on mailboxes with no login activity for specified days","Yes"
"Exchange Online","Pro","detect-disable-forwarding","Detect and Disable Forwarding to External Domains","Maintenance & Hygiene","Find and optionally disable automatic forwarding rules to external domains","Yes"
"Exchange Online","Pro","mailbox-size-report","Mailbox Size Report","Reporting & Inventory","Generate comprehensive mailbox size reports including primary and archive sizes","Yes"
"Exchange Online","Pro","export-distribution-list-members","Export Distribution List Members","Reporting & Inventory","Export all members of distribution lists and groups to CSV","Yes"
"Exchange Online","Pro","configure-inbound-connector","Configure Inbound Mail Connector","Mail Flow & Transport","Create an inbound connector for mail flow from on-premises or third-party systems","Yes"
"Exchange Online","Pro","configure-accepted-domain","Add Accepted Domain","Mail Flow & Transport","Add an accepted domain to Exchange Online for receiving mail","Yes"
"Exchange Online","Pro","start-mailbox-migration-batch","Start Mailbox Migration Batch","Migration & Compliance","Create and start a mailbox migration batch from on-premises Exchange","Yes"
"Exchange Online","Pro","enable-mailbox-archive","Enable In-Place Archive for Mailbox","Migration & Compliance","Enable online archive mailbox for a user","Yes"
"Exchange Online","Pro","create-ediscovery-case","Create eDiscovery Case","Migration & Compliance","Create a new eDiscovery case for legal hold and content search","Yes"
"Exchange Online","Pro","configure-dkim-signing","Enable DKIM Signing for Domain","Security & DLP","Enable DomainKeys Identified Mail (DKIM) signing for a domain","Yes"
"Exchange Online","Pro","create-dlp-policy","Create DLP Policy","Security & DLP","Create a Data Loss Prevention policy to protect sensitive information","Yes"
"Exchange Online","Pro","set-mobile-device-access-rule","Configure Mobile Device Access Rule","Security & DLP","Set mobile device access rules for Exchange ActiveSync","Yes"
"Exchange Online","Pro","configure-transport-rule-compliance","Create Transport Rule for Compliance","Security & DLP","Create mail flow rule for compliance requirements (disclaimers, encryption, blocking)","Yes"
"Exchange Online","Pro","configure-remote-domain","Configure Remote Domain Settings","Mail Flow & Transport","Configure remote domain settings for external email domains","Yes"
"Exchange Online","Pro","configure-mailbox-litigation-hold","Configure Mailbox Litigation Hold","Compliance & eDiscovery","Place mailbox on litigation hold to preserve all content for legal/compliance purposes","Yes"
"Exchange Online","Pro","configure-mailbox-audit-bypass","Configure Mailbox Audit Bypass","Auditing & Compliance","Configure audit bypass for service accounts or automated processes","Yes"
"Exchange Online","Pro","configure-journaling-rule","Configure Journaling Rule","Compliance & eDiscovery","Create journaling rule to send message copies to compliance mailbox","Yes"
"Exchange Online","Pro","configure-mail-flow-connector","Configure Mail Flow Connector","Mail Flow & Transport","Create inbound or outbound connector for hybrid or third-party mail flow","Yes"
"Exchange Online","Pro","bulk-mailbox-permission-audit","Bulk Mailbox Permission Audit Report","Auditing & Compliance","Generate comprehensive report of all mailbox permissions across organization","Yes"
"Exchange Online","Pro","configure-focused-inbox-policy","Configure Focused Inbox Organization Policy","User Experience","Enable or disable Focused Inbox feature organization-wide or for specific users","Yes"
"Exchange Online","Pro","configure-mailbox-language-timezone","Configure Mailbox Language and Timezone","User Experience","Set mailbox language, timezone, and regional settings for users","Yes"
"Exchange Online","Pro","configure-mailbox-calendar-processing","Configure Room/Resource Mailbox Calendar Processing","Calendar & Scheduling","Configure automatic calendar processing rules for room and resource mailboxes","Yes"
"Exchange Online","Pro","configure-oauth-authentication-policy","Configure OAuth Authentication Policy","Security & Authentication","Configure OAuth authentication policies for modern authentication and application access","Yes"
"Exchange Online","Pro","configure-mailbox-folder-permissions-bulk","Configure Mailbox Folder Permissions in Bulk","Delegation & Permissions","Set calendar or folder permissions for multiple users at once","Yes"
"Azure AD","Pro","create-azure-ad-user","Create New User Account","User Lifecycle","Create a new Azure AD user with license assignment and password settings","Yes"
"Azure AD","Pro","bulk-create-users","Bulk Create Users from CSV","User Lifecycle","Create multiple users from a CSV file with optional license assignment","Yes"
"Azure AD","Pro","assign-remove-licenses","Assign or Remove User Licenses","User Lifecycle","Assign or remove licenses for a single user or multiple users","Yes"
"Azure AD","Pro","update-user-attributes","Update User Attributes","User Lifecycle","Update user profile attributes like job title, department, manager, phone number","Yes"
"Azure AD","Pro","enable-disable-user","Enable or Disable User Account","User Lifecycle","Enable or disable user account with optional logging and confirmation","Yes"
"Azure AD","Pro","reset-password","Reset User Password","User Lifecycle","Reset user password with optional token revocation for security","Yes"
"Azure AD","Pro","check-mfa-status","Check MFA Registration Status","User Lifecycle","Check MFA registration status and authentication methods for users","Yes"
"Azure AD","Pro","create-azure-ad-group","Create Security or M365 Group","Groups & Access","Create a new security group or Microsoft 365 group with owners and members","Yes"
"Azure AD","Pro","bulk-add-remove-members","Bulk Add/Remove Group Members","Groups & Access","Add or remove multiple members from a group using a CSV file","Yes"
"Azure AD","Pro","assign-group-owners","Assign Group Owners","Groups & Access","Add one or more owners to an Azure AD group","Yes"
"Azure AD","Pro","export-group-membership","Export Group Membership to CSV","Groups & Access","Export all members of a group to a CSV file","Yes"
"Azure AD","Pro","create-dynamic-group","Create Dynamic Group with Membership Rule","Groups & Access","Create a dynamic security group with automatic membership based on user attributes","Yes"
"Azure AD","Pro","export-all-groups","Export All Groups Inventory","Groups & Access","Export all Azure AD groups to a CSV file with details","Yes"
"Azure AD","Pro","export-signin-logs","Export Sign-In Logs","Reporting & Auditing","Export Azure AD sign-in logs filtered by date range, user, or application","Yes"
"Azure AD","Pro","export-audit-logs","Export Audit Logs","Reporting & Auditing","Export Azure AD audit logs for user changes, group modifications, and administrative actions","Yes"
"Azure AD","Pro","inactive-accounts-report","Inactive Accounts Report","Reporting & Auditing","Generate a report of user accounts with no sign-in activity for X days, with optional disable action","Yes"
"Azure AD","Pro","license-usage-report","License Usage Report","Reporting & Auditing","Generate a report showing assigned vs available licenses for all SKUs","Yes"
"Azure AD","Pro","mfa-compliance-report","MFA Compliance Report","Reporting & Auditing","Generate comprehensive MFA registration and compliance report for all users","Yes"
"Azure AD","Pro","list-devices","List All Devices","Device Management","List all devices registered in Azure AD with filtering options","Yes"
"Azure AD","Pro","disable-stale-devices","Disable Stale Devices","Device Management","Disable or delete devices with no activity for X days","Yes"
"Azure AD","Pro","export-device-compliance","Export Device Compliance Status","Device Management","Export compliance status for all managed devices","Yes"
"Azure AD","Pro","export-device-inventory","Export Device Inventory by Model/Owner/OS","Device Management","Detailed device inventory report with hardware and owner information","Yes"
"Azure AD","Pro","review-remove-guest-users","Review and Remove Guest Users","Maintenance & Governance","Find and optionally remove inactive or expired guest user accounts","Yes"
"Azure AD","Pro","bulk-invite-guests","Bulk Invite Guest Users","Maintenance & Governance","Send guest invitations to multiple external users from a CSV file","Yes"
"Azure AD","Pro","remove-unlicensed-accounts","Remove Unlicensed Accounts","Maintenance & Governance","Find and optionally disable/delete user accounts with no assigned licenses","Yes"
"Azure AD","Pro","configure-conditional-access-policy","Configure Advanced Conditional Access Policies","Common Admin Tasks","Create conditional access policies with grant controls, session controls, and conditions","Yes"
"Azure AD","Pro","manage-pim-roles","Manage Privileged Identity Management (PIM) Roles","Common Admin Tasks","Activate, assign, or configure PIM role assignments for privileged access management","Yes"
"Azure AD","Pro","configure-identity-protection-policy","Configure Identity Protection Risk Policies","Common Admin Tasks","Configure sign-in risk and user risk policies with automatic remediation actions","Yes"
"Azure AD","Pro","manage-administrative-units","Manage Administrative Units","Common Admin Tasks","Create administrative units and assign users/groups for delegated administration","Yes"
"Azure AD","Pro","configure-access-reviews","Configure Access Reviews","Common Admin Tasks","Set up recurring access reviews for groups, applications, and role assignments","Yes"
"Azure AD","Pro","manage-aad-connect-sync","Manage Azure AD Connect Sync","Common Admin Tasks","Monitor sync status, force delta/full sync, troubleshoot sync errors","Yes"
"Azure AD","Pro","configure-password-protection","Configure Password Protection Settings","Common Admin Tasks","Configure custom banned password lists, lockout policies, and smart lockout settings","Yes"
"Azure AD","Pro","manage-b2b-external-identities","Manage External Identities (B2B)","Common Admin Tasks","Invite external users, configure B2B collaboration settings, manage guest access","Yes"
